epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.974,0.61783,1.87984,0.99955,0.92979,1,0.995,0.91229,0.33427,1.83024,0.76074,0.00024,0.00024,0.00024
2,223.292,0.51963,0.89033,0.8903,0.98637,1,0.995,0.9067,0.34132,1.28257,0.77446,0.0004901,0.0004901,0.0004901
3,346.696,0.49072,0.86152,0.91075,0.9872,1,0.995,0.9067,0.32464,1.28463,0.78258,0.000729904,0.000729904,0.000729904
4,471.675,0.53105,0.84159,0.93228,0.98436,1,0.995,0.91229,0.38173,1.03867,0.79146,0.000959412,0.000959412,0.000959412
5,589.036,0.50332,0.76394,0.90765,0.98734,1,0.995,0.8955,0.40805,0.89333,0.80554,0.00117862,0.00117862,0.00117862
6,709.485,0.5175,0.69647,0.89553,0.98634,1,0.995,0.84037,0.50957,0.99459,0.81691,0.00138754,0.00138754,0.00138754
7,821.906,0.52562,0.6804,0.91194,0.98476,1,0.995,0.995,0.37256,0.84314,0.78806,0.00158616,0.00158616,0.00158616
8,932.543,0.50086,0.66917,0.88967,0.983,1,0.995,0.92904,0.42381,0.64957,0.79581,0.0017228,0.0017228,0.0017228
9,1049.17,0.51527,0.62238,0.90186,0.98472,1,0.995,0.92904,0.43707,0.68259,0.81437,0.0016832,0.0016832,0.0016832
10,1168.86,0.49707,0.5856,0.89626,0.98534,1,0.995,0.995,0.38155,0.62028,0.77897,0.0016436,0.0016436,0.0016436
11,1282.23,0.5132,0.57408,0.90281,0.94777,1,0.995,0.96204,0.38172,0.75932,0.7856,0.001604,0.001604,0.001604
12,1401.58,0.47854,0.53981,0.87982,0.98207,1,0.995,0.8955,0.42803,0.50487,0.80215,0.0015644,0.0015644,0.0015644
13,1520.76,0.47991,0.52111,0.90214,0.98657,1,0.995,0.995,0.30495,0.41348,0.7699,0.0015248,0.0015248,0.0015248
14,1633.24,0.46725,0.4968,0.88508,0.98653,1,0.995,0.995,0.24368,0.42671,0.75062,0.0014852,0.0014852,0.0014852
15,1745.06,0.43096,0.45156,0.85577,0.98564,1,0.995,0.995,0.28746,0.42239,0.76095,0.0014456,0.0014456,0.0014456
16,1857.85,0.44248,0.45869,0.89328,0.98593,1,0.995,0.9399,0.24446,0.43055,0.75391,0.001406,0.001406,0.001406
17,1974.27,0.41778,0.44019,0.88841,0.98591,1,0.995,0.995,0.22075,0.36354,0.75657,0.0013664,0.0013664,0.0013664
18,2088.23,0.41078,0.40377,0.86282,0.98682,1,0.995,0.995,0.32449,0.38549,0.77577,0.0013268,0.0013268,0.0013268
19,2199.2,0.42447,0.40665,0.87087,0.98684,1,0.995,0.995,0.2913,0.30207,0.76802,0.0012872,0.0012872,0.0012872
20,2316.16,0.43362,0.40309,0.88775,0.98654,1,0.995,0.96209,0.26466,0.32309,0.75966,0.0012476,0.0012476,0.0012476
21,2424.17,0.40779,0.392,0.86532,0.98694,1,0.995,0.995,0.2891,0.30165,0.76309,0.001208,0.001208,0.001208
22,2529.12,0.40907,0.38454,0.88175,0.98641,1,0.995,0.86331,0.32952,0.34745,0.76575,0.0011684,0.0011684,0.0011684
23,2638.05,0.39282,0.37218,0.85461,0.98692,1,0.995,0.90719,0.23015,0.29972,0.7504,0.0011288,0.0011288,0.0011288
24,2762.05,0.3847,0.35705,0.87196,0.98671,1,0.995,0.995,0.28522,0.303,0.76083,0.0010892,0.0010892,0.0010892
25,2866.87,0.39503,0.34865,0.86647,0.98698,1,0.995,0.93994,0.32327,0.27669,0.77535,0.0010496,0.0010496,0.0010496
